	Thể loại	Phần trăm	Max mỗi tháng
KBank	Thái Lan	15	1,000,000 ₫
	Du lịch (Khách sạn, thuê xe, hàng không)	10	
	Siêu thị và tạp hóa	10	
	Nhà hàng	10	
	Giải trí & Đăng ký theo dõi 	10	
	Sức khỏe & Làm đẹp	10	
	Online/Thương mại điện tử 	10	
Woori Classic	Online TMĐT	5	300,000 ₫
	Máy bay, khách sạn, agoda, trip .com	5	300,000 ₫
Woori Gold	Online TMĐT	8	300,000 ₫
	Máy bay, khách sạn, agoda, trip .com	5	300,000 ₫
	Ăn uống	10	300,000 ₫
	Siêu thị, CHTL	5	300,000 ₫
Woori Platinum	Y tế, bảo hiểm, giáo dục	10	300,000 ₫
	Máy bay, khách sạn, agoda, trip .com	5	300,000 ₫
	Ăn uống	10	300,000 ₫
	Siêu thị, CHTL	5	300,000 ₫
Woori VV Premium	Golf	10	500,000 ₫
	Làm đẹp		
	Ăn uống offline		
	Khách sạn		
LPBank Signature	Du lịch, khách sạn, vé	2	∞
	Khác	1.3	
LP JCB ULTIMATE	Y tế, giáo dục, bảo hiểm	15	800,000 ₫
	Nghỉ dưỡng/ăn uống/Spa	10	
	Khác	0.5	
MB HI Cashback Credit - RIP	Ăn uống, cà phê, giáo dục	1	500,000 ₫
	Ăn uống, cà phê, du lịch, khách sạn	1	
	Ăn uống, cà phê, bảo hiểm	1	
	Online, bảo hiểm	1	
	Ăn uống, cà phê, giáo dục	1	1,000,000 ₫
	Ăn uống, cà phê, du lịch, khách sạn	1	
	Ăn uống, cà phê, bảo hiểm	1	
	Online, bảo hiểm	1	
Sea Signature	Y tế: Thuốc, Tá dược	10	2,000,000 ₫
	Spa/Massage	5	
	Khách sạn/Nhà nghỉ/Khu nghỉ mát	3	
	Ăn uống	1	
SeA Easy	Online TMĐT	8	600,000 ₫
	Online khác	0.3	
SeA Platinum	POS nước ngoài	3	3,000,000 ₫
	Khác	0.3	∞
TCB Signature	Nhà hàng	5	3,000,000 ₫
	Du lịch, khách sạn	3	
TCB Everyday	Online nước ngoài	8	500,000 ₫
	Online trong nước	5	
TCB Spark	Du lịch	8	500,000 ₫
	Thời trang	8	
	Giải trí	8	
	Online	2	
	Nhà hàng	2	
	Khác	0.1	
TCB Eco	Bảo hiểm, Giáo dục	3	800,000 ₫
TCB Style	Online nước ngoài	8	500,000 ₫
	Online trong nước	3	
	Nhà hàng	1	
	Khác	0.1	
UOB One	Di Chuyển	10	600,000 ₫
	Dịch vụ định kỳ	5	
	Bảo hiểm	3	
	Mua sắm TTTM, Thời trang	2	
	Khác	0.3	
HSBC Cash Back	Siêu thị	6	200,000 ₫
	Y tế	1	∞
	Giáo dục	1	
	Khác	0.3	
HSBC Live+	Ẩm thực	6	200,000 ₫
	Mua sắm 	6	200,000 ₫
	Giải trí	1	∞
	Khác	0.3	
Shinhan 365	Siêu thị (POS)	10	400,000 ₫
	POS nước ngoài	3	200,000 ₫
"Shinhan Hi-Point
Platinum
Gold
Classic"	Store: Samsung, nguyenkim	5	400,000 ₫
	Online: Shopee		
	Di chuyển: Grab		
	Du lịch: VNA, agoda		
	Ăn uống: tourlesjour, paris baguette		
SHB Cashback	Siêu thị,Bảo hiểm, Thời trang	5	300,000 ₫
	Giáo dục, Y tế		500,000 ₫
	Siêu thị,Bảo hiểm, Thời trang	10	600,000 ₫
	Giáo dục, Y tế		1,000,000 ₫
Nam Á Happy Digital	Online nước ngoài	10	500,000 ₫
	Online trong nước	2	
Nam Á Happy Lady	Siêu thị, CHTL	20	300,000 ₫
	Nhà hàng		400,000 ₫
	Du lịch		500,000 ₫
HDBank JCB Ultimate	chi tiêu tại Nhật Bản	20	500,000 ₫
	du lịch, khách sạn, resort	15	300,000 ₫
	nước ngoài	6	200,000 ₫
	POS trong nước	4	200,000 ₫
	chi tiêu tại Nhật Bản	10	250,000 ₫
	du lịch, khách sạn, resort	5	150,000 ₫
	nước ngoài	3	100,000 ₫
	POS trong nước	2	100,000 ₫
HDBank Gold	Online	10	400,000 ₫
	Ăn uống - 5812 + 5813	8	200,000 ₫
	Online	6	200,000 ₫
	Ăn uống - 5812 + 5813	4	100,000 ₫
HDBANK Priority  SIGNATURE	Trung tâm TM, Thời trang	15	500,000 ₫
	Khác	0.5	500,000 ₫
HDBank Vietjet Platinum	vé máy bay Vietjet	10	500,000 ₫
	Du lịch, ẩm thực	10	300,000 ₫
VCB Platinum	Siêu thị nhà hàng	5	600,000 ₫
	Khác	0.2	
VCB Cashback Platinum	Nước ngoài	1.5	∞
	Khác	0.5	2,000,000 ₫
VCB World	Ăn uống, du lịch nước ngoài	5	800,000 ₫
	Khác	0.5	
VCB Signature	Y tế, giáo dục	10	300,000 ₫
	Khác	0.5	∞
PVcomBank Shopping	siêu thị, cửa hàng tiện lợi	1	600,000 ₫
	Online	3	
PVcomBank Cashback	Y tế, giáo dục	3	600,000 ₫
	Khác	1	
PVcomBank Travel	Du lịch	1	600,000 ₫
	Ăn uống T7, CN	8	
BVBank inStyle	Bảo hiểm	20	1,000,000 ₫
	Siêu thị	10	500,000 ₫
	Bảo hiểm	10	600,000 ₫
	Siêu thị	10	
	Bảo hiểm	5	300,000 ₫
	Siêu thị	5	
BVBank Lifestyle	Netflix/ Vieon/ ChatGPT	50	50,000 ₫
	Giải trí (Entertainment)	20	600,000 ₫
	Du lịch	15	
	Thời trang, Mua sắm	10	
	Ăn uống	10	
BVBank Sense	Thời trang, Mua sắm	20	1,500,000 ₫
	Ăn uống	20	
	Thời trang, Mua sắm	10	600,000 ₫
	Ăn uống	10	
	Thời trang, Mua sắm	5	300,000 ₫
	Ăn uống	5	
	Uniqlo		50,000 ₫
BVBank Ms.	Online Lazada, Shopee, Tiki	10	600,000 ₫
	Online khác	2	
	Shopee, Tiktok Shop, Lazada	5	300,000 ₫
	Online khác	1	
BVBank Ms.	Online Lazada, Shopee, Tiki	10	300,000 ₫
	Grab, Be, Mỹ phẩm 5977	5	
BVBank shopON	Online	5	200,000 ₫
MB JCB ULTIMATE	Y tế, giáo dục, bảo hiểm	10	800,000 ₫
ACB Platinum	Ăn uống	5	100,000 ₫
	Mua sắm online (xem MCC)		100,000 ₫
	Ví trên phone (Apple/gg/ss/garmin)		100,000 ₫
ACB Signature	Ăn uống	5	500,000 ₫
	Du lịch, vé máy bay, khách sạn		
	Khác	1	
